pid,link,name,price,brand
302533,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa?utm_flashsale=1,"Laptop HP Pavilion 15 eg2082TU - 7C0Q5PA (i5 1240P, 8GB, 512GB, Full HD, Win11)",15190000.0,HP
325480,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-i5-km657w,"Laptop Asus Zenbook 14 OLED UX3402VA - KM657W (i5 13500H, 16GB, 512GB, 2.8K OLED 90Hz, Win11)",23190000.0,Asus
328473,https://www.thegioididong.com/laptop/dell-vostro-3530-i5-80gg93,"Laptop Dell Vostro 3530 - 80GG93 (i5 1335U, 16GB, 512GB, 15.6""F, 120Hz, OfficeHS, Win11)",17490000.0,Dell
328947,https://www.thegioididong.com/laptop/dell-inspiron-16-5640-core-7-khpf5,"Laptop Dell Inspiron 16 5640 - KHPF5 (Core 7 150U, 16GB, 1TB, MX570A 2GB, Full HD+ OfficeHS, Win11)",26490000.0,Dell
327508,https://www.thegioididong.com/laptop/acer-aspire-lite-al16-51p-596h-i5-nxkwzsv002,"Laptop Acer Aspire Lite AL16 51P 596H - NX.KWZSV.002 (i5 1235U, 8GB, 512GB, WUXGA, Win11)",12990000.0,Acer
342514,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-g8-core-5-210h-21sg007svn,"Laptop Lenovo ThinkBook 14 G8 - 21SG007SVN (Core 5 210H, 16GB, 512GB, WUXGA, Win11)",22290000.0,Lenovo
325588,https://www.thegioididong.com/laptop/msi-stealth-14-ai-studio-a1vfg-ultra-7-085vn,"Laptop MSI Gaming Stealth 14 AI Studio A1VFG - 085VN (Ultra 7 155H, 32GB, 1TB, RTX 4060 8GB, 2.8K OLED 120Hz, Win11)",46730000.0,MSI
329867,https://www.thegioididong.com/laptop/acer-swift-lite-14-ai-sfl14-51m-56hs-ultra-5-nxj1hsv002,"Laptop Acer Swift Lite 14 AI SFL14 51M 56HS - NX.J1HSV.002 (Ultra 5 125U, 16GB, 512GB, Full HD+, Win11)",19390000.0,Acer
322098,https://www.thegioididong.com/laptop/msi-gaming-katana-a15-ai-b8ve-r7-402vn,"Laptop MSI Gaming Katana A15 AI B8VE - 402VN (R7 8845HS, 16GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)",25690000.0,MSI
339953,https://www.thegioididong.com/laptop/msi-thin-15-b13uc-i7-13620h-1411vn-16gb,"Laptop MSI Gaming Thin 15 B13UC - 1411VN_16GB (i7 13620H, 16GB, 512GB, RTX 3050 4GB, Full HD 144Hz, Win11)",19790000.0,MSI
