data_id,rating,quantity_sales
339952,5,Đã bán 6
313627,4.9,"Đã bán 3,7k"
339688,5,Đã bán 70
331508,5,Đã bán 461
333107,5,Đã bán 481
339684,5,Đã bán 29
338208,5,Đã bán 63
327406,5,Đã bán 262
327507,4.9,Đã bán 407
341626,5,Đã bán 11
341603,5,Đã bán 5
328130,5,Đã bán 85
339954,5,Đã bán 9
326558,5,Đã bán 115
337842,5,Đã bán 79
338315,5,Đã bán 135
328951,5,Đã bán 528
327409,4.9,Đã bán 346
328950,5,Đã bán 530
327981,4.9,"Đã bán 1,7k"
341267,5,Đã bán 30
318354,5,Đã bán 262
325586,5,Đã bán 91
338280,5,Đã bán 22
335549,5,Đã bán 40
325051,5,Đã bán 91
339686,5,Đã bán 48
328946,5,"Đã bán 1,3k"
331526,5,Đã bán 59
302533,4.9,"Đã bán 3,5k"
325480,4.9,"Đã bán 1,1k"
328473,4.9,"Đã bán 1,8k"
328947,5,Đã bán 468
327508,5,Đã bán 769
342514,,Đã bán 2
325588,5,Đã bán 25
329867,5,Đã bán 294
322098,5,Đã bán 4
339953,5,Đã bán 21
339211,5,Đã bán 38
329858,4.9,"Đã bán 2,7k"
331527,4.9,Đã bán 103
309565,4.9,"Đã bán 4,7k"
333098,5,Đã bán 146
327901,5,Đã bán 149
327900,5,Đã bán 225
326194,4.9,"Đã bán 2,5k"
339661,,Đã bán 2
313332,4.9,"Đã bán 2,1k"
339647,5,Đã bán 4
332397,5,Đã bán 7
328945,5,Đã bán 883
312414,4.9,"Đã bán 10,7k"
327899,5,Đã bán 582
342501,5,Đã bán 7
333873,5,Đã bán 30
322003,5,Đã bán 438
335550,5,Đã bán 5
340006,,Đã bán 2
335832,5,Đã bán 12
339680,5,Đã bán 72
341266,5,Đã bán 19
334800,5,Đã bán 77
339212,5,Đã bán 30
339690,5,Đã bán 29
337237,5,Đã bán 3
322959,5,Đã bán 74
334796,5,Đã bán 180
341623,5,Đã bán 22
326148,4.9,"Đã bán 1,1k"
333099,5,Đã bán 54
337242,,Đã bán 1
326280,5,Đã bán 25
332579,5,Đã bán 39
341750,,Đã bán 2
338321,5,Đã bán 43
335172,5,Đã bán 46
326059,5,Đã bán 207
329337,4.9,Đã bán 889
329789,5,Đã bán 51
323585,5,Đã bán 3
341608,5,Đã bán 4
317709,4.9,"Đã bán 2,9k"
334799,5,Đã bán 76
326824,5,Đã bán 236
335020,,Đã bán 1
339659,,Đã bán 2
341751,,Đã bán 2
339685,5,Đã bán 20
311145,5,Đã bán 670
315892,4.9,Đã bán 787
327408,5,Đã bán 122
334444,5,Đã bán 5
339648,,Đã bán 2
341611,,Đã bán 1
321468,5,Đã bán 640
322099,5,Đã bán 22
330165,5,Đã bán 340
334798,5,Đã bán 10
315911,5,Đã bán 460
341752,,Đã bán 1
337241,5,Đã bán 4
339658,5,Đã bán 3
320431,4.9,"Đã bán 1,3k"
327974,5,"Đã bán 1,3k"
325002,5,Đã bán 55
339662,,Đã bán 1
337841,,
342752,5,Đã bán 10
326864,5,Đã bán 78
334802,5,Đã bán 109
335835,5,Đã bán 8
339234,5,Đã bán 6
337236,,
339951,,
327509,5,"Đã bán 1,4k"
334805,5,Đã bán 222
322269,4.9,"Đã bán 3,2k"
335551,,
338313,5,Đã bán 27
342758,5,Đã bán 3
