pid,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt,Chất liệu,Cân nặng
332578,50 Wh,Windows 11 Home SL,2023,Vỏ nhựa - nắp lưng bằng kim loại,2.1 kg
340481,43 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.5 kg
322073,47 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.6 kg
340487,80 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,1.9 kg
332450,72.4 Wh,macOS Sequoia,2024,Vỏ nhôm tái chế 100%,1.6 kg
308697,52.4 Wh,Windows 11 Home SL,2023,Nắp lưng và chiếu nghỉ tay bằng kim loại,1.9 kg
317704,42 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.4 kg
325479,75 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.5 kg
333105,54 Wh,Windows 11 Home SL,,Vỏ nhựa,1.7 kg
337469,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.9 kg
337041,59 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.8 kg
333423,58 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
341604,54.8 Wh,Windows 11 Home SL,2025,Nắp lưng và chiếu nghỉ tay bằng kim loại,2.0 kg
313974,70 Wh,Windows 11 Home SL,2023,Vỏ nhựa,2.3 kg
339656,48 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.6 kg
332370,45 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.7 kg
314849,53.5 Wh,Windows 11 Home SL,2023,Vỏ nhựa,2.2 kg
334440,57 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.5 kg
342469,54 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
327977,42 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.7 kg
330578,48 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.3 kg
337043,59 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.8 kg
319657,57 Wh,Windows 11 Home SL,2023,Vỏ nhựa,2.1 kg
325953,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.6 kg
331506,59 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.4 kg
333424,53 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.6 kg
326641,38 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.4 kg
339652,45 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,1.4 kg
322100,65 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.3 kg
329853,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.9 kg
327898,90 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,2.2 kg
341568,54 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.9 kg
310839,50 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.7 kg
340483,43 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.5 kg
338312,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
339201,53 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.0 kg
325699,50 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.7 kg
339653,45 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.7 kg
329736,47 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.4 kg
339265,43 Wh,Windows 11 Home SL,2025,Vỏ kim loại,1.0 kg
327710,39.3 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.4 kg
340565,50 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
340562,54 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.6 kg
325477,50 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
342526,60 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.4 kg
323325,41 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.4 kg
329852,64 Wh,Windows 11 Home SL,2024,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,1.7 kg
333425,53 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.6 kg
339655,45 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,1.7 kg
302209,41.04 Wh,Windows 11 Home SL,2022,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,1.7 kg
338000,53.5 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.2 kg
309375,42 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.9 kg
335170,42 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.4 kg
325244,54 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.7 kg
328443,70 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.3 kg
338279,70 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.5 kg
304543,40 Wh,Windows 11 Home SL,2022,Vỏ nhựa,1.7 kg
332368,45 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.4 kg
326637,58 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.5 kg
329429,70 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.3 kg
328474,54 Wh,Windows 11 Home SL,,Vỏ nhựa,1.6 kg
328483,60 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.4 kg
316941,52.4 Wh,Windows 11 Home SL,2023,Vỏ kim loại,1.9 kg
317712,42 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.4 kg
340561,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.6 kg
338317,54 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
333094,90 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,2.5 kg
323335,42 Wh,Windows 11 Home SL,2023,Vỏ kim loại - Nhôm,1.2 kg
272282,57.5 Wh,Windows 11 Home SL,2022,Vỏ nhựa,2.5 kg
313973,70 Wh,Windows 11 Home SL,2023,Vỏ nhựa,2.3 kg
321436,50 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.7 kg
329112,47 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.6 kg
336968,55.2 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,1.9 kg
339616,60 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.4 kg
329787,90 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.7 kg
337471,41 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.7 kg
336031,75 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.3 kg
335171,42 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.9 kg
333872,43 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.0 kg
326876,58 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.5 kg
337843,76 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.2 kg
327506,50 Wh,Windows 11 Home SL,,Vỏ hợp kim Nhôm,1.2 kg
328815,59 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.4 kg
333197,70 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.5 kg
339952,90 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,2.7 kg
313627,42 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.6 kg
339688,63 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.0 kg
331508,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
333107,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.5 kg
339684,90 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,2.2 kg
338208,59 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.4 kg
327406,51 Wh,Windows 11 Home SL,2023,Vỏ kim loại,1.7 kg
327507,50 Wh,Windows 11 Home SL,2023,Vỏ nhựa - nắp lưng bằng kim loại,1.7 kg
341626,76 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.1 kg
341603,57 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.1 kg
328130,45 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.4 kg
339954,46.8 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.5 kg
326558,57 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.5 kg
337842,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.3 kg
338315,42 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.5 kg
328951,70 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.8 kg
327409,42 Wh,Windows 11 Home SL,2023,Vỏ kim loại,1.3 kg
328950,50 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
327981,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
341267,59 Wh,Windows 11 Home SL,2025,Vỏ hợp kim Nhôm,1.7 kg
318354,57 Wh,Windows 11 Home SL,2023,Vỏ nhựa,2.1 kg
325586,53.5 Wh,Windows 11 Home SL,,Vỏ nhựa,1.6 kg
338280,70 Wh,Windows 11 Home SL,2025,Vỏ kim loại,1.2 kg
335549,70 Wh,Windows 11 Home SL,,Vỏ kim loại - Nhôm,1.5 kg
325051,65 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.3 kg
339686,56 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,2.2 kg
328946,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
331526,59 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.4 kg
302533,41.04 Wh,Windows 11 Home SL,2022,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,1.7 kg
325480,75 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.4 kg
328473,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
328947,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.9 kg
327508,58 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
342514,45 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng hợp kim nhôm,1.4 kg
325588,72 Wh,Windows 11 Home SL,,Nắp lưng và mặt đáy bằng kim loại,1.7 kg
329867,58 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.3 kg
322098,53.5 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.2 kg
339953,52.4 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.9 kg
339211,76 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.2 kg
329858,42 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
331527,59 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.4 kg
309565,41 Wh,Windows 11 Home SL,2022,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,1.7 kg
333098,75 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.3 kg
327901,86 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.8 kg
327900,86 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.8 kg
326194,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.9 kg
339661,80 Wh,Windows 11 Pro,2025,Vỏ kim loại - Nhôm,1.4 kg
313332,57.5 Wh,Windows 11 Home SL,2022,Vỏ nhựa,2.5 kg
339647,80 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,1.9 kg
332397,65 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.3 kg
328945,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.7 kg
312414,42 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.7 kg
327899,90 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,2.2 kg
342501,60 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.4 kg
333873,43 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.0 kg
322003,50 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.5 kg
335550,60 Wh,Windows 11 Home SL,,Vỏ nhựa - nắp lưng bằng kim loại,1.4 kg
340006,55.2 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.9 kg
335832,64 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.3 kg
339680,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.6 kg
341266,59 Wh,Windows 11 Home SL,2025,Vỏ hợp kim Nhôm,1.7 kg
334800,70 Wh,Windows 11 Home SL,2025,Nhôm - Magie,1.0 kg
339212,54 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.3 kg
339690,63 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.0 kg
337237,60 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,1.3 kg
322959,75 Wh,Windows 11 Home SL,2024,Nhôm - Magie,1.0 kg
334796,75 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.3 kg
341623,52.5 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.3 kg
326148,54 Wh,Windows 11 Home SL,2023,Vỏ nhựa,1.7 kg
333099,75 Wh,Windows 11 Home SL,2024,Vỏ kim loại - Nhôm,1.3 kg
337242,60 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.4 kg
326280,53.5 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.2 kg
332579,57 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.5 kg
341750,76 Wh,Windows 11 Home SL,2025,Vỏ bằng kim loại - Chiếu nghỉ tay bằng nhựa,2.0 kg
338321,70 Wh,Windows 11 Home SL,2025,Vỏ kim loại - Nhôm,1.4 kg
335172,75 Wh,Windows 11 Home SL,2025,Vỏ kim loại,1.5 kg
326059,70 Wh,Windows 11 Home SL,2023,Vỏ nhựa,2.3 kg
329337,57.5 Wh,Windows 11 Home SL,2022,Vỏ nhựa,2.5 kg
329789,90 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.7 kg
323585,83 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.4 kg
341608,57 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.1 kg
317709,56 Wh,Windows 11 Home SL,2023,Vỏ nhựa - nắp lưng bằng kim loại,2.2 kg
334799,42 Wh,Windows 11 Home SL,2025,Vỏ nhựa,1.9 kg
326824,59 Wh,Windows 11 Home SL,2024,Vỏ kim loại,1.4 kg
335020,90 Wh,Windows 11 Home SL,2025,Nắp lưng và chiếu nghỉ tay bằng kim loại,1.6 kg
339659,57 Wh,Windows 11 Pro,2025,Mặt trên Sợi Carbon - Mặt dưới nhôm,1.0 kg
341751,76 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.2 kg
339685,90 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.2 kg
311145,41 Wh,Windows 11 Home SL,2023,Vỏ kim loại - Nắp lưng bằng nhựa,1.7 kg
315892,90 Wh,Windows 11 Home SL,2023,Vỏ nhựa - nắp lưng bằng kim loại,2.2 kg
327408,51 Wh,Windows 11 Home SL,2023,Vỏ kim loại,1.7 kg
334444,60 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.6 kg
339648,80 Wh,Windows 11 Home SL,2025,Vỏ nhựa - nắp lưng bằng kim loại,1.9 kg
341611,75 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.4 kg
321468,75 Wh,Windows 11 Home SL,2023,Vỏ kim loại - Nhôm,1.2 kg
322099,53.5 Wh,Windows 11 Home SL,2024,Vỏ nhựa,2.0 kg
330165,41 Wh,Windows 11 Home SL,2024,Vỏ nhựa,1.6 kg
334798,75 Wh,Windows 11 Home SL,2025,Nhôm - Magie,1.4 kg
315911,41 Wh,Windows 11 Home SL,2023,Vỏ kim loại - Nắp lưng bằng nhựa,1.7 kg
341752,76 Wh,Windows 11 Home SL,2025,Vỏ nhựa,2.2 kg
337241,60 Wh,Windows 11 Home SL,2024,Vỏ nhựa - nắp lưng bằng kim loại,1.4 kg
339658,58 Wh,Windows 11 Pro,2025,Vỏ nhựa - nắp lưng bằng kim loại,1.2 kg
