Card màn hình,data_id,Số nhân GPU,Công suất đồ hoạ - TGP,Hiệu năng xử lý AI (TOPS)
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",338206,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",327872,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",337476,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",326049,,,
"['Card tích hợp - 10 nhân GPU', 'Card tích hợp']",331564,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",326122,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",343121,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",339687,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",338278,2560 CUDA Cores,,
"['Card rời - NVIDIA GeForce RTX 3050, 4 GB', 'Card rời', 'NVIDIA GeForce RTX 3050, 4 GB']",338324,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",337474,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",311177,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",322072,2040 CUDA Cores,95 W,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",328906,,,
"['Card rời - NVIDIA GeForce RTX 4060, 8 GB', 'Card rời']",310447,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",343122,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",339681,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",340560,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",341270,,,
"['Card rời - NVIDIA GeForce RTX 2050, 4 GB', 'Card rời']",330162,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",338318,,,
"['Card rời - NVIDIA GeForce RTX 2050, 4 GB', 'Card rời']",318163,2048 CUDA Cores,30 W - 45 W,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",339857,2304 CUDA Cores,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",335553,2040 CUDA Cores,95 W,Lên đến 142 TOPS
"['Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)', 'Card tích hợp']",328814,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",327707,,,
"['Card tích hợp - 10 nhân GPU', 'Card tích hợp']",331566,,,
"['Card rời - NVIDIA GeForce RTX 5050, 8 GB', 'Card rời']",341607,2560 CUDA Cores,35 W - 100 W,Lên đến 440 TOPS
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",327050,2040 CUDA Cores,95 W,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",340559,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",336036,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",325697,,,
"['Card rời - NVIDIA GeForce RTX 2050, 4 GB', 'Card rời']",334998,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",328949,Hãng không công bố,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",337042,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",326831,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",327097,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",335555,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",333103,,,
"['Card tích hợp - Intel Arc Graphics', 'Card tích hợp']",341602,,,
"['Card rời - NVIDIA GeForce RTX 3050, 4 GB', 'Card rời', 'NVIDIA GeForce RTX 3050, 4 GB']",330932,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",334689,2560 CUDA Cores,75 W,Lên đến 194 TOPS
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",338316,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",341618,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",338322,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",333102,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",334794,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",339202,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",322222,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",340479,,,
"['Card tích hợp - AMD Radeon 780M', 'Card tích hợp']",334449,,,
"['Card tích hợp - AMD Radeon 860M', 'Card tích hợp']",339587,,,
"['Card tích hợp - 16 nhân GPU', 'Card tích hợp']",331568,,,
"['Card rời - NVIDIA GeForce RTX 4050, 6 GB', 'Card rời']",326861,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",337044,,,
"['Card tích hợp - AMD Radeon 840M', 'Card tích hợp']",339581,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",337472,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",340491,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",322270,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",338320,,,
"['Card rời - NVIDIA GeForce RTX 3050, 4 GB', 'Card rời', 'NVIDIA GeForce RTX 3050, 4 GB']",313177,,,
"['Card tích hợp - AMD Radeon Graphics', 'Card tích hợp']",340484,,,
"['Card rời - NVIDIA GeForce RTX 2050, 4 GB', 'Card rời']",314630,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",337475,,,
"['Card rời - NVIDIA GeForce RTX 3050, 6 GB', 'Card rời']",340004,,,
"['Card tích hợp - Intel Iris Xe Graphics', 'Card tích hợp', 'Intel Iris Xe Graphics']",340558,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",334795,,,
"['Card rời - NVIDIA GeForce RTX 4060, 8 GB', 'Card rời']",327896,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",340478,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",337473,,,
"['Card tích hợp - Intel Iris Xe Graphics eligible', 'Card tích hợp']",333421,,,
"['Card tích hợp - Intel UHD Graphics', 'Card tích hợp', 'Intel UHD Graphics']",332578,,,
"['Card tích hợp - Intel Graphics', 'Card tích hợp']",340481,,,
